iter	Passed	Remaining
802	1543	378
803	1545	376
804	1548	375
805	1549	373
806	1551	371
807	1552	368
808	1555	367
809	1556	365
810	1558	363
811	1559	361
812	1561	359
813	1563	357
814	1564	355
815	1565	353
816	1567	351
817	1568	349
818	1570	347
819	1572	345
820	1573	343
821	1574	341
822	1576	339
823	1578	337
824	1579	335
825	1581	333
826	1582	331
827	1584	329
828	1586	327
829	1587	325
830	1588	323
831	1590	321
832	1592	319
833	1594	317
834	1595	315
835	1596	313
836	1598	311
837	1600	309
838	1601	307
839	1602	305
840	1604	303
841	1606	301
842	1608	299
843	1609	297
844	1610	295
845	1612	293
846	1614	291
847	1615	289
848	1617	287
849	1618	285
850	1620	283
851	1622	281
852	1623	279
853	1624	277
854	1626	275
855	1627	273
856	1630	272
857	1632	270
858	1633	268
859	1635	266
860	1638	264
861	1639	262
862	1641	260
863	1642	258
864	1645	256
865	1646	254
866	1647	252
867	1649	250
868	1650	248
869	1652	246
870	1653	244
871	1655	242
872	1656	240
873	1657	239
874	1659	237
875	1661	235
876	1663	233
877	1664	231
878	1666	229
879	1668	227
880	1669	225
881	1670	223
882	1672	221
883	1673	219
884	1675	217
885	1677	215
886	1678	213
887	1679	211
888	1681	209
889	1683	208
890	1684	206
891	1686	204
892	1687	202
893	1689	200
894	1691	198
895	1692	196
896	1694	194
897	1695	192
898	1697	190
899	1699	188
900	1700	186
901	1701	184
902	1703	182
903	1705	181
904	1707	179
905	1708	177
906	1710	175
907	1713	173
908	1714	171
909	1716	169
910	1717	167
911	1719	165
912	1721	164
913	1722	162
914	1724	160
915	1725	158
916	1728	156
917	1730	154
918	1731	152
919	1733	150
920	1736	148
921	1737	147
922	1739	145
923	1740	143
924	1742	141
925	1744	139
926	1745	137
927	1747	135
928	1748	133
929	1750	131
930	1752	129
931	1753	127
932	1754	126
933	1756	124
934	1758	122
935	1760	120
936	1761	118
937	1762	116
938	1764	114
939	1766	112
940	1768	110
941	1769	108
942	1770	107
943	1772	105
944	1774	103
945	1776	101
946	1777	99
947	1778	97
948	1780	95
949	1782	93
950	1783	91
951	1785	90
952	1786	88
953	1788	86
954	1790	84
955	1791	82
956	1792	80
957	1794	78
958	1796	76
959	1797	74
960	1799	73
961	1800	71
962	1802	69
963	1804	67
964	1805	65
965	1806	63
966	1808	61
967	1809	59
968	1812	57
969	1813	56
970	1814	54
971	1816	52
972	1818	50
973	1819	48
974	1821	46
975	1822	44
976	1823	42
977	1826	41
978	1827	39
979	1829	37
980	1830	35
981	1833	33
982	1835	31
983	1837	29
984	1839	28
985	1842	26
986	1844	24
987	1845	22
988	1847	20
989	1849	18
990	1850	16
991	1852	14
992	1853	13
993	1855	11
994	1856	9
995	1858	7
996	1859	5
997	1861	3
998	1862	1
999	1864	0
